file,chunk_id,slice_id,band_id,detection_prob,dm_pc_cm-3,t_sec,t_sample,x1,y1,x2,y2,snr,width_ms,class_prob,is_burst,patch_file
2017-04-03-08_16_13_0002.fits,0,34,0,0.990,0.00,17.076224,42,80,0,97,16,10.45,4.096,1.000,burst,patch_slice34_band0.png
2017-04-03-08_16_13_0002.fits,0,34,0,0.551,0.00,17.059840,34,63,0,80,16,10.51,4.096,1.000,burst,patch_slice34_band0.png
2017-04-03-08_16_13_0002.fits,0,34,0,0.558,0.00,17.092608,50,97,0,113,16,10.41,4.096,1.000,burst,patch_slice34_band0.png
2017-04-03-08_16_13_0002.fits,0,64,0,0.879,0.00,32.143360,79,157,0,174,16,9.71,40.960,1.000,burst,patch_slice64_band0.png
2017-04-03-08_16_13_0002.fits,0,64,0,0.759,0.00,32.131072,73,145,0,162,16,9.75,40.960,1.000,burst,patch_slice64_band0.png
2017-04-03-08_16_13_0002.fits,0,64,0,0.504,0.00,32.167936,91,183,0,199,16,9.58,40.960,1.000,burst,patch_slice64_band0.png
2017-04-03-08_16_13_0002.fits,0,86,0,0.685,0.00,43.450368,233,483,0,499,16,7.10,4.096,1.000,burst,patch_slice86_band0.png
2017-04-03-08_16_13_0002.fits,0,94,0,0.862,0.00,47.204352,122,249,0,265,16,8.38,4.096,1.000,burst,patch_slice94_band0.png
2017-04-03-08_16_13_0002.fits,0,94,0,0.658,0.00,47.198208,119,242,0,259,16,8.36,4.096,1.000,burst,patch_slice94_band0.png
2017-04-03-08_16_13_0002.fits,0,101,0,0.990,0.00,50.909184,230,476,0,493,16,12.77,6.144,1.000,burst,patch_slice101_band0.png
2017-04-03-08_16_13_0002.fits,0,101,0,0.510,0.00,50.833408,193,398,0,415,16,12.79,6.144,1.000,burst,patch_slice101_band0.png
2017-04-03-08_16_13_0002.fits,0,101,0,0.551,0.00,50.882560,217,449,0,466,16,12.73,6.144,1.000,burst,patch_slice101_band0.png
2017-04-03-08_16_13_0002.fits,0,101,0,0.607,0.00,50.921472,236,489,0,506,16,12.74,6.144,1.000,burst,patch_slice101_band0.png
